Time Stamps (s),Values,Labels,punc,dvop_next,dvop_prev,dx_next,dx_prev,dy_next,dy_prev,delta_next,delta_prev
40.15,-0.5,M-L, ,0.16600000000000392,0.007999999999995566,0.3049999999999997,0.11999999999999744,0.5,-0.5,1.6393442622950836,-4.166666666666756
40.455,0.0,M, ,0.14099999999999824,0.003999999999997783,0.14000000000000057,0.3049999999999997,-0.5,0.5,-3.571428571428557,1.6393442622950836
40.595,-0.5,M-L, ,0.0009999999999976694,0.14399999999999835,0.24500000000000455,0.14000000000000057,-0.5,-0.5,-2.0408163265305745,-3.571428571428557
40.84,-1.0,L, ,0.847999999999999,0.016000000000005343,0.8649999999999949,0.24500000000000455,1.0,-0.5,1.1560693641618565,-2.0408163265305745
41.705,0.0,M,.,0.13000000000000256,0.016999999999995907,0.13500000000000512,0.8649999999999949,0.0,1.0,0.0,1.1560693641618565
41.84,0.0,M, ,0.06799999999999784,0.005000000000002558,0.07499999999999574,0.13500000000000512,-1.0,0.0,-13.33333333333409,0.0
41.915,-1.0,L-L, ,0.695999999999998,0.006999999999997897,0.75,0.07499999999999574,1.0,-1.0,1.3333333333333333,-13.33333333333409
42.665,0.0,M, ,0.1319999999999979,0.015000000000000568,0.17500000000000426,0.75,0.0,1.0,0.0,1.3333333333333333
42.84,0.0,M, ,0.06999999999999318,0.043000000000006366,0.06999999999999318,0.17500000000000426,0.0,0.0,0.0,0.0
42.91,0.0,M, ,0.11700000000000443,0.11299999999999955,0.13000000000000256,0.06999999999999318,0.0,0.0,0.0,0.0
